No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
SV3/075T,DAYLIFF SV3 7.5KW 3PH SUNVERTER,32,220000,DAYLIFF,SUNVERTER
DSKIT-X0600C,DAYLIFF SUNFLO SMART PAYGO PUMPING SYSTEM ,2,219800,DAYLIFF,SOLAR PUMP
DSH150,ULTRASUN UVR150 VACROD SOLAR HOT WATER SYSTEM,3,218000,SUNRAIN,SHW
DSKIT-B500C4,DAYLIFF SUNFLO-B 500C4 SOLAR PUMPING SYSTEM,0,218000,DAYLIFF,SOLAR PUMP
SUNTOWER 4.4M/3,DAYLIFF GALV. SUNTOWER 4.4M W/O 3000L PLASTIC TANK,0,215000,FAB,SUPPORT ST
DSKIT09,DAYLIFF SUNFLO-B 500C1 SOLAR PUMPING SYSTEM,2,214000,DAYLIFF,SOLAR PUMP
15KTL3-X,DAYLIFF GROWATT 15KW 3PH GRID-TIE INVERTER,4,212000,DAYLIFF,GROWATT
SUNTOWER 3.4M,DAYLIFF GALV. SUNTOWER 3.4M C/W 3000L PLASTIC TANK,0,211000,FAB,SUPPORT ST
POWER-MATEA1,HUAWEI POWER-M 5KW POWER MODULE (MAP05A1),72,210000,HUAWEI,INVERTER
DSD200,ULTRASUN UFS200D FLATPLATE SOLAR HOT WATER SYSTEM,30,208000,SUNRAIN,SHW
ESD150,ULTRASUN UFX160D FLATPLATE SOLAR HOT WATER SYSTEM,8,204000,BURAL,SHW
10KTL3-X,DAYLIFF GROWATT 10KW 3PH GRID TIE INVERTER,6,202000,DAYLIFF,GROWATT
DSKIT-X0500H,DAYLIFF SUNFLO PAWA PAYGO PUMPING SYSTEM ,2,201720,DAYLIFF,SOLAR PUMP
SP-5000,DAYLIFF OPTIVERTER DO6000 MULTIFUNCTION INVERTER,27,200000,OPTI,INVERTER
UFS200I,ULTRASUN UFS200I INDIRECT SOLAR HOT WATER SYSTEM,24,200000,SUNRAIN,SHW
CPLI-4875AH,DAYLIFF 75AH LiFePO4 LITHIUM ION BATTERY C/W BMS,25,195000,CHAMPION,BATTERY
SEM 100-300K,SMART ENERGY METER 100-300kW,4,186000,DAYLIFF,GROWATT
SUNFLEX1100C3,DAYLIFF SUNFLEX 1100C3 SOLAR PUMP C/W CONTROL UNIT,16,185000,DAYLIFF,SOLAR PUMP
SUNFLEX1100C8,DAYLIFF SUNFLEX 1100C8 SOLAR PUMP C/W CONTROL UNIT,11,185000,DAYLIFF,SOLAR PUMP
SUNFLEX1500C5,DAYLIFF SUNFLEX 1500C5 SOLAR PUMP C/W CONTROL UNIT,1,185000,DAYLIFF,SOLAR PUMP
SUNFLEX2200C9,DAYLIFF SUNFLEX 2200C9 SOLAR PUMP C/W CONTROL UNIT,3,185000,DAYLIFF,SOLAR PUMP
SUNTOWER 2.4M,DAYLIFF GALV. SUNTOWER 2.4M C/W 3000L PLASTIC TANK,0,185000,FAB,SUPPORT ST
DSD150,ULTRASUN UFS150D FLATPLATE SOLAR HOT WATER SYSTEM,23,180000,SUNRAIN,SHW
DSH300/2,UVR300 SOLAR HOT WATER TANK,0,180000,SUNRAIN,SHW
SV3/055T,DAYLIFF SV3 5.5KW 3PH SUNVERTER,74,180000,DAYLIFF,SUNVERTER
VSS-250/85,VICTRON 250/85 SMARTSOLAR MPPT CHARGE CONTROLLER,1,176000,VICTRON,ACCESSORY
SUNTOWER 3.4M/3,DAYLIFF GALV. SUNTOWER 3.4M W/O 3000L PLASTIC TANK,0,175000,FAB,SUPPORT ST
SUNFLEX750C2,DAYLIFF SUNFLEX 750C2 SOLAR PUMP C/W CONTROL UNIT,38,173000,DAYLIFF,SOLAR PUMP
